Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
Empire State Of Mind,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Ni**as In Paris,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8607854944234796,False
Numb / Encore,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.837379370550046,False
Run This Town,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9093818341755371,False
No Church In The Wild,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9093818341755371,False
4:44,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
03' Bonnie & Clyde,1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.7801608267964927,False
Love All (with JAY-Z),-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Otis,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Why I Love You,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9779917582460426,False
Fresh,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9093818341755371,False
Medicine,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9904360666445238,False
